"month","Base","Total"
"Apr","B02512",35536
"Apr","B02598",183263
"Apr","B02617",108001
"Apr","B02682",227808
"Apr","B02764",9908
"May","B02512",36765
"May","B02598",260549
"May","B02617",122734
"May","B02682",222883
"May","B02764",9504
"Jun","B02512",32509
"Jun","B02598",242975
"Jun","B02617",184460
"Jun","B02682",194926
"Jun","B02764",8974
"Jul","B02512",35021
"Jul","B02598",245597
"Jul","B02617",310160
"Jul","B02682",196754
"Jul","B02764",8589
"Aug","B02512",31472
"Aug","B02598",220129
"Aug","B02617",355803
"Aug","B02682",173280
"Aug","B02764",48591
"Sep","B02512",34370
"Sep","B02598",240600
"Sep","B02617",377695
"Sep","B02682",197138
"Sep","B02764",178333
