"dayofweek","Base","Total"
"Sun","B02512",20490
"Sun","B02598",146652
"Sun","B02617",164452
"Sun","B02682",126511
"Sun","B02764",32075
"Mon","B02512",25460
"Mon","B02598",163542
"Mon","B02617",176416
"Mon","B02682",143372
"Mon","B02764",32682
"Tue","B02512",31670
"Tue","B02598",202378
"Tue","B02617",214167
"Tue","B02682",176198
"Tue","B02764",39376
"Wed","B02512",32929
"Wed","B02598",216644
"Wed","B02617",222669
"Wed","B02682",189863
"Wed","B02764",34383
"Thu","B02512",35032
"Thu","B02598",235157
"Thu","B02617",240216
"Thu","B02682",205091
"Thu","B02764",39649
"Fri","B02512",33319
"Fri","B02598",229908
"Fri","B02617",234379
"Fri","B02682",201594
"Fri","B02764",41939
"Sat","B02512",26773
"Sat","B02598",198832
"Sat","B02617",206554
"Sat","B02682",170160
"Sat","B02764",43795
