"dayofweek","month","Trips"
"Sun","Apr",51251
"Sun","May",56168
"Sun","Jun",79656
"Sun","Jul",76327
"Sun","Aug",110246
"Sun","Sep",116532
"Mon","Apr",60861
"Mon","May",63846
"Mon","Jun",94655
"Mon","Jul",93189
"Mon","Aug",91633
"Mon","Sep",137288
"Tue","Apr",91185
"Tue","May",76662
"Tue","Jun",88134
"Tue","Jul",137454
"Tue","Aug",107124
"Tue","Sep",163230
"Wed","Apr",108631
"Wed","May",89857
"Wed","Jun",99654
"Wed","Jul",147717
"Wed","Aug",115256
"Wed","Sep",135373
"Thu","Apr",85067
"Thu","May",128921
"Thu","Jun",115325
"Thu","Jul",148439
"Thu","Aug",124117
"Thu","Sep",153276
"Fri","Apr",90303
"Fri","May",133991
"Fri","Jun",105056
"Fri","Jul",102735
"Fri","Aug",148674
"Fri","Sep",160380
"Sat","Apr",77218
"Sat","May",102990
"Sat","Jun",81364
"Sat","Jul",90260
"Sat","Aug",132225
"Sat","Sep",162057
